Date : 2026-02-19 14:51:50
Directory : c:\academia\src\spring_tr4\src
Total : 57 files,  4334 codes, 2 comments, 711 blanks, all 5047 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\academia\src\spring_tr4\src\main\resources\templates\bulk_confirm.html                       | HTML            |         42 |          0 |          3 |         45 |
| c:\academia\src\spring_tr4\src\main\resources\templates\categories.html                         | HTML            |         92 |          0 |          6 |         98 |
| c:\academia\src\spring_tr4\src\main\resources\templates\communication_icons.html                | HTML            |         74 |          0 |          5 |         79 |
| c:\academia\src\spring_tr4\src\main\resources\templates\complete.html                           | HTML            |        106 |          0 |         13 |        119 |
| c:\academia\src\spring_tr4\src\main\resources\templates\confirm.html                            | HTML            |        131 |          0 |         22 |        153 |
| c:\academia\src\spring_tr4\src\main\resources\templates\content_icons.html                      | HTML            |         74 |          0 |          5 |         79 |
| c:\academia\src\spring_tr4\src\main\resources\templates\create.html                             | HTML            |        188 |          0 |         27 |        215 |
| c:\academia\src\spring_tr4\src\main\resources\templates\error\404.html                          | HTML            |         15 |          0 |          1 |         16 |
| c:\academia\src\spring_tr4\src\main\resources\templates\error\500.html                          | HTML            |         15 |          0 |          1 |         16 |
| c:\academia\src\spring_tr4\src\main\resources\templates\icon_size_variations.html               | HTML            |         51 |          0 |          3 |         54 |
| c:\academia\src\spring_tr4\src\main\resources\templates\index.html                              | HTML            |        828 |          0 |        119 |        947 |
| c:\academia\src\spring_tr4\src\main\resources\templates\login.html                              | HTML            |        107 |          0 |          1 |        108 |
| c:\academia\src\spring_tr4\src\main\resources\templates\social_icons.html                       | HTML            |         74 |          0 |          5 |         79 |
| Total                                                                                           |                 |      4,334 |          2 |        711 |      5,047 |
+-------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
